7496.94889	-0.01088
7495.02016	-0.02807
7493.09144	-0.03845
7491.16272	-0.03624
7489.23399	-0.02823
7487.30527	-0.02427
7485.37654	-0.02214
7483.44782	-0.01900
7481.51910	-0.01803
7479.59037	-0.01738
7477.66165	-0.01578
7475.73293	-0.01848
7473.80420	-0.02067
7471.87548	-0.01448
7469.94676	-0.00842
7468.01803	-0.00931
7466.08931	-0.01133
7464.16058	-0.01118
7462.23186	-0.01195
7460.30314	-0.01781
7458.37441	-0.02695
7456.44569	-0.03119
7454.51697	-0.02658
7452.58824	-0.01918
7450.65952	-0.01931
7448.73079	-0.02590
7446.80207	-0.02601
7444.87335	-0.01661
7442.94462	-0.01186
7441.01590	-0.01931
7439.08718	-0.02494
7437.15845	-0.02047
7435.22973	-0.01551
7433.30101	-0.01421
7431.37228	-0.01195
7429.44356	-0.00693
7427.51483	-0.00223
7425.58611	-0.00349
7423.65739	-0.01270
7421.72866	-0.02374
7419.79994	-0.02582
7417.87122	-0.01501
7415.94249	-0.00228
7414.01377	0.00041
7412.08505	-0.00277
7410.15632	-0.00284
7408.22760	-0.00048
7406.29887	0.00049
7404.37015	-0.00187
7402.44143	-0.00925
7400.51270	-0.01980
7398.58398	-0.02540
7396.65526	-0.02137
7394.72653	-0.01414
7392.79781	-0.01039
7390.86908	-0.01054
7388.94036	-0.01310
7387.01164	-0.01415
7385.08291	-0.01099
7383.15419	-0.00770
7381.22547	-0.00632
7379.29674	-0.00451
7377.36802	-0.00353
7375.43930	-0.00403
7373.51057	-0.00436
7371.58185	-0.00502
7369.65312	-0.00658
7367.72440	-0.00697
7365.79568	-0.00352
7363.86695	0.00104
7361.93823	0.00248
7360.00951	0.00110
7358.08078	-0.00259
7356.15206	-0.00712
7354.22334	-0.00881
7352.29461	-0.00731
7350.36589	-0.00596
7348.43716	-0.00607
7346.50844	-0.00598
7344.57972	-0.00827
7342.65099	-0.01527
7340.72227	-0.01838
7338.79355	-0.01130
7336.86482	-0.00199
7334.93610	0.00175
7333.00737	0.00313
7331.07865	0.00875
7329.14993	0.01609
7327.22120	0.01500
7325.29248	0.00301
